School Year,District Code,School Code,District Name,School Name,Overall Accountability Score,Overall Accountability Rating,Lowest Grade in the School,Highest Grade in the School,School Type,School Enrollment,District Enrollment,Percent American Indian or Alaskan Native,Percent Asian,Percent Black or African American,Percent Hispanic/Latino,Percent Native Hawaiian or Other Pacific Islander,Percent White,Percent Two or More Races,Percent Students with Disabilities,Percent Economically Disadvantaged,Percent English Learners,Percent School Choice Program,Percent Open Enrollment,School Achievement Score,School ELA Achievement Score,School Mathematics Achievement Score,School Growth Score,School ELA Growth Score,School Mathematics Growth Score,School Target Group Outcomes Score,School Target Group Achievement Score,School Target Group Growth Score,School Target Group Chronic Absenteeism Score,School Target Group Graduation Score,School Target Group Attendance Score,School On-Track to Graduation Score,School Chronic Absenteeism Rate Score,School Graduation Rate Score,School Attendance Rate Score,School 3rd Grade ELA Achievement Score,School 8th Grade Mathematics Achievement Score,State ELA Achievement Score,State Mathematics Achievement Score,State ELA Growth Score,State Mathematics Growth Score,State Chronic Absenteeism Rate Score,State Graduation Rate Score,State Attendance Rate Score,State 3rd Grade ELA Achievement Score,State 8th Grade Mathematics Achievement Score,Test Participation ELA 2022 All Students,Test Participation Mathematics 2022 All Students,Subgroup with lowest ELA test participation rate 2022,Test Participation ELA 2022 lowest rate subgroup,Subgroup with lowest math test participation rate 2022,Test Participation Mathematics 2022 lowest rate subgroup,Score weighting Achievement Priority Area,Score weighting Growth Priority Area,Score weighting Target Group Outcomes Priority Area,Score weighting Ontrack Priority Area,School Percent Proficient ELA 2019,State Percent Proficient ELA 2019,School Percent Proficient Mathematics 2019,State Percent Proficient Mathematics 2019,School Percent Proficient ELA 2021,State Percent Proficient ELA 2021,School Percent Proficient Mathematics 2021,State Percent Proficient Mathematics 2021,School Percent Proficient ELA 2022,State Percent Proficient ELA 2022,School Percent Proficient Mathematics 2022,State Percent Proficient Mathematics 2022,Single-school district note,Open enrollment note,No Score Note,Grade Band for Comparison Schools,CESA,Locale description,City,Agency type,Charter school indicator,Chartering authority,Virtual school indicator,Report Card Type
2021-22,5474,100,Spooner Area,Spooner Middle,73.8,Exceeds Expectations,5,8,Middle School,285,1049,0.011,0.004,0.018,0.042,0,0.867,0.06,0.13,0.558,0,NA,0.021,57.3,59.9,54.7,73.6,77.4,69.8,69,14.5,73.6,91.9,NA,95.3,86.3,93.8,NA,95.8,NA,52.4,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,0.989,0.989,SwD,0.947,SwD,0.947,0.111,0.389,0.25,0.25,0.39,0.407,0.383,0.388,0.329,0.387,0.315,0.331,0.41,0.362,0.347,0.339,NA,,,6-8,11,Town,Spooner,Public school,No,NA,No,Public - All Students
2021-22,5586,60,Spring Valley,Spring Valley Elementary,69.9,Meets Expectations,K4,5,Elementary School,357,716,0,0,0.003,0.014,0,0.978,0.006,0.112,0.291,0,NA,0.109,67.4,61.4,73.3,65.1,67.9,62.2,63.9,27.6,68.9,78,NA,88.2,82.7,85.2,NA,91.6,59.8,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.993,0.993,SwD,0.955,SwD,0.955,0.289,0.211,0.25,0.25,0.431,0.404,0.545,0.468,0.4,0.371,0.533,0.424,0.372,0.386,0.514,0.451,NA,,,K-5,11,Rural,Spring Valley,Public school,No,NA,No,Public - All Students
2021-22,5586,80,Spring Valley,Spring Valley High,76.3,Exceeds Expectations,9,12,High School,205,716,0.005,0.01,0,0.015,0,0.961,0.01,0.141,0.351,0.02,NA,0.151,60.2,56.9,63.4,83.1,71.7,94.5,71.3,16.9,77.4,87.3,92.9,NA,95.1,93.3,96.8,NA,NA,NA,59.8,53.6,66,66,81.1,91.2,NA,NA,NA,0.993,0.993,Econ Disadv,0.979,Econ Disadv,0.979,0.266,0.267,0.267,0.2,0.324,0.408,0.428,0.375,0.345,0.392,0.446,0.339,0.341,0.388,0.485,0.34,NA,,,9-12,11,Rural,Spring Valley,Public school,No,NA,No,Public - All Students
2021-22,5586,70,Spring Valley,Spring Valley Middle,67.8,Meets Expectations,6,8,Middle School,154,716,0.006,0,0,0.013,0,0.974,0.006,0.065,0.312,0.013,NA,0.078,61.7,59.1,64.2,62.2,45.1,79.3,57,20.6,55.6,97.6,NA,96.5,90.3,97.8,NA,97.1,NA,61.5,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,0.987,0.987,White,0.986,White,0.986,0.275,0.225,0.25,0.25,0.391,0.407,0.417,0.388,0.396,0.387,0.403,0.331,0.322,0.362,0.507,0.339,NA,,,6-8,11,Rural,Spring Valley,Public school,No,NA,No,Public - All Students
2021-22,NA,8257,SS John & James Lutheran School,SS John & James Lutheran School,NA,NR-DATA,K4,8,Elementary School,12,NA,0,0,0,0,0,1,0,*,*,*,0.211,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,59.8,66,66,87.8,NA,94,57,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,NA,0.428,NA,0.379,NA,0.377,NA,0.374,NA,0.393,NA,,Insufficient data to produce a score,K-8,7,NA,Reedsville,Private school,No,NA,No,Private - Choice Students
2021-22,5593,80,Stanley-Boyd Area,Stanley-Boyd High,67.9,Meets Expectations,9,12,High School,332,1084,0.003,0.009,0.006,0.027,0,0.925,0.03,0.175,0.482,0.006,NA,0.072,59.6,59.4,59.8,62.2,56.5,67.9,59.9,10.3,66,88.5,95.6,NA,96.1,95.4,96.7,NA,NA,NA,59.8,53.6,66,66,81.1,91.2,NA,NA,NA,0.972,0.972,SwD,0.881,SwD,0.881,0.173,0.361,0.267,0.2,0.359,0.408,0.427,0.375,0.392,0.392,0.37,0.339,0.386,0.388,0.44,0.34,NA,,,9-12,10,Town,Stanley,Public school,No,NA,No,Public - All Students
2021-22,5593,100,Stanley-Boyd Area,Stanley-Boyd Middle,77.6,Exceeds Expectations,6,8,Middle School,252,1084,0,0.008,0.016,0.024,0,0.909,0.044,0.155,0.524,0,NA,0.083,65.8,66.5,65.1,76.4,69.8,83.1,69.5,15.7,71.7,97.1,NA,96.7,93.8,98.7,NA,97.7,NA,76.1,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,0.992,0.992,SwD,0.943,SwD,0.943,0.134,0.366,0.25,0.25,0.533,0.407,0.506,0.388,0.452,0.387,0.474,0.331,0.381,0.362,0.452,0.339,NA,,,6-8,10,Town,Stanley,Public school,No,NA,No,Public - All Students
2021-22,5593,120,Stanley-Boyd Area,Stanley Elementary,73.9,Exceeds Expectations,KG,5,Elementary School,434,1084,0,0.005,0.014,0.021,0,0.94,0.021,0.184,0.521,0.007,NA,0.081,78.4,69.5,87.3,65.1,58.4,71.7,67.1,24.1,67,94,NA,95.4,91,95.8,NA,96.3,70.8,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,1,1,NA,NA,NA,NA,0.136,0.364,0.25,0.25,0.432,0.404,0.588,0.468,0.464,0.371,0.626,0.424,0.531,0.386,0.698,0.451,NA,,,K-5,10,Town,Stanley,Public school,No,NA,No,Public - All Students
2021-22,NA,8358,Star of Bethlehem Evangelical Lutheran School,Star of Bethlehem Evangelical Lutheran School,NA,NR-DATA,K4,8,Elementary School,44,NA,0,0,0,0.091,0,0.909,0,0,0.455,0,0.186,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,59.8,66,66,87.8,NA,94,57,52.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,NA,0.428,NA,0.379,NA,0.377,NA,0.374,NA,0.393,NA,,Insufficient data to produce a score,K-8,1,NA,New Berlin,Private school,No,NA,No,Private - Choice Students
2021-22,8136,8136,Stellar Collegiate Charter School,Stellar Collegiate Charter School,59.6,Meets Expectations,K4,5,Elementary School,260,NA,0,0.008,0.096,0.835,0,0.05,0.012,0.169,0.846,0.454,NA,0,29.6,26.3,32.9,57.5,31.8,83.1,NA,NA,NA,NA,NA,NA,74.2,81.8,NA,91.4,24.5,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.983,0.983,SwD,0.957,SwD,0.957,0.075,0.675,NA,0.25,0.174,0.404,0.217,0.468,0.156,0.371,0.06,0.424,0.089,0.386,0.241,0.451,This report serves for both school and district accountability purposes for this school.,,,K-5,1,City,Milwaukee,Non District Charter Schools,Yes,University of Wisconsin Milwaukee,No,Public - All Students
