School Year,District Code,School Code,District Name,School Name,Overall Accountability Score,Overall Accountability Rating,Lowest Grade in the School,Highest Grade in the School,School Type,School Enrollment,District Enrollment,Percent American Indian or Alaskan Native,Percent Asian,Percent Black or African American,Percent Hispanic/Latino,Percent Native Hawaiian or Other Pacific Islander,Percent White,Percent Two or More Races,Percent Students with Disabilities,Percent Economically Disadvantaged,Percent English Learners,Percent School Choice Program,Percent Open Enrollment,School Achievement Score,School ELA Achievement Score,School Mathematics Achievement Score,School Growth Score,School ELA Growth Score,School Mathematics Growth Score,School Target Group Outcomes Score,School Target Group Achievement Score,School Target Group Growth Score,School Target Group Chronic Absenteeism Score,School Target Group Graduation Score,School Target Group Attendance Score,School On-Track to Graduation Score,School Chronic Absenteeism Rate Score,School Graduation Rate Score,School Attendance Rate Score,School 3rd Grade ELA Achievement Score,School 8th Grade Mathematics Achievement Score,State ELA Achievement Score,State Mathematics Achievement Score,State ELA Growth Score,State Mathematics Growth Score,State Chronic Absenteeism Rate Score,State Graduation Rate Score,State Attendance Rate Score,State 3rd Grade ELA Achievement Score,State 8th Grade Mathematics Achievement Score,Test Participation ELA 2022 All Students,Test Participation Mathematics 2022 All Students,Subgroup with lowest ELA test participation rate 2022,Test Participation ELA 2022 lowest rate subgroup,Subgroup with lowest math test participation rate 2022,Test Participation Mathematics 2022 lowest rate subgroup,Score weighting Achievement Priority Area,Score weighting Growth Priority Area,Score weighting Target Group Outcomes Priority Area,Score weighting Ontrack Priority Area,School Percent Proficient ELA 2019,State Percent Proficient ELA 2019,School Percent Proficient Mathematics 2019,State Percent Proficient Mathematics 2019,School Percent Proficient ELA 2021,State Percent Proficient ELA 2021,School Percent Proficient Mathematics 2021,State Percent Proficient Mathematics 2021,School Percent Proficient ELA 2022,State Percent Proficient ELA 2022,School Percent Proficient Mathematics 2022,State Percent Proficient Mathematics 2022,Single-school district note,Open enrollment note,No Score Note,Grade Band for Comparison Schools,CESA,Locale description,City,Agency type,Charter school indicator,Chartering authority,Virtual school indicator,Report Card Type
2021-22,8110,100,21st Century Preparatory School,21st Century Preparatory School,55.5,Meets Few Expectations,K4,8,Elementary School,525,NA,0,0,0.545,0.291,0,0.072,0.091,0.099,0.859,0.055,NA,0,25.6,30.1,21.1,59.4,69.8,48.9,44.9,4.8,65.1,58.9,NA,79.1,64.9,68.1,NA,84.8,28,9.1,59.5,59.8,66,66,87.8,NA,94,57,52.5,0.987,0.98,SwD,0.955,SwD,0.955,0.05,0.45,0.25,0.25,0.15,0.405,0.151,0.428,0.083,0.379,0.048,0.377,0.138,0.374,0.062,0.393,This report serves for both school and district accountability purposes for this school.,,,K-8,1,City,Racine,Non District Charter Schools,Yes,University of Wisconsin Parkside,No,Public - All Students
2021-22,7,20,Abbotsford,Abbotsford Elementary,60.5,Meets Expectations,K4,5,Elementary School,365,772,0.003,0,0.005,0.699,0,0.277,0.016,0.192,0.712,0.573,NA,0.134,45.7,43.3,48.1,58.4,52.7,64.1,41.9,14.5,40.3,98.9,NA,97.3,86,97.1,NA,96.9,41.9,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.994,1,EL,0.99,NA,NA,0.05,0.45,0.25,0.25,0.239,0.404,0.2,0.468,0.2,0.371,0.355,0.424,0.213,0.386,0.272,0.451,NA,,,K-5,10,Rural,Abbotsford,Public school,No,NA,No,Public - All Students
2021-22,7,40,Abbotsford,Abbotsford Middle/Senior High,66.1,Meets Expectations,6,12,High School,401,772,0,0,0.015,0.551,0,0.429,0.005,0.172,0.661,0.332,NA,0.117,43.7,47.1,40.2,62.2,62.2,62.2,60.5,8.8,66,90.5,97.7,NA,83.1,94.1,99,NA,NA,29.2,59.9,53.6,66,66,83.3,91.2,NA,NA,52.5,0.983,0.986,EL,0.964,EL,0.971,0.05,0.45,0.25,0.25,0.312,0.408,0.289,0.382,0.312,0.389,0.24,0.335,0.213,0.375,0.172,0.34,NA,,,6-12,10,Rural,Abbotsford,Public school,No,NA,No,Public - All Students
2021-22,NA,1300,Abundant Life Christian School,Abundant Life Christian School,78.8,Exceeds Expectations,KG,12,Elementary/Secondary School,109,NA,0,0.028,0.101,0.018,0,0.789,0.064,0.018,0.009,0.138,0.375,0,75.5,84.2,66.7,75.5,85,66,NA,NA,NA,NA,NA,NA,88.6,93.6,NA,96.6,NA,62.5,59.6,57.7,66,66,85.7,NA,93.2,57,52.5,0.987,0.987,White,0.982,White,0.982,0.675,0.075,NA,0.25,NA,0.407,NA,0.41,0.677,0.384,0.383,0.364,0.636,0.379,0.446,0.375,NA,,,K-12,2,NA,Madison,Private school,No,NA,No,Private - Choice Students
2021-22,NA,1652,Academy of Excellence,Academy of Excellence,53.6,Meets Few Expectations,K4,12,Elementary/Secondary School,1271,NA,0,0.124,0.195,0.324,0.001,0.334,0.022,0.01,0.581,0.191,0.981,0,11.8,13.4,10.1,57.5,64.1,50.8,49.7,1,64.1,72.1,NA,92.1,67.4,74.5,88,NA,12.8,10.9,59.6,57.7,66,66,85.7,91.2,NA,57,52.5,0.572,0.575,White,0.032,White,0.032,0.096,0.404,0.25,0.25,0.05,0.407,0.029,0.41,0.04,0.384,0.012,0.364,0.04,0.379,0.016,0.375,NA,,,K-12,1,NA,Milwaukee,Private school,No,NA,No,Private - Choice Students
2021-22,14,130,Adams-Friendship Area,Adams-Friendship Elementary,66.6,Meets Expectations,K4,4,Elementary School,503,1376,0.006,0.008,0.014,0.082,0,0.847,0.044,0.205,0.65,0.002,NA,0.02,48.1,40.8,55.4,66,54.6,77.4,NA,NA,NA,NA,NA,NA,73.9,75.1,NA,89.5,40.1,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.989,0.989,SwD,0.95,SwD,0.95,0.075,0.675,NA,0.25,0.251,0.404,0.369,0.468,0.197,0.371,0.285,0.424,0.195,0.386,0.361,0.451,NA,,,K-5,5,Rural,Adams,Public school,No,NA,No,Public - All Students
2021-22,14,40,Adams-Friendship Area,Adams-Friendship High,78.4,Exceeds Expectations,9,12,High School,476,1376,0.006,0,0.017,0.084,0,0.853,0.04,0.269,0.632,0.008,NA,0.042,39.8,44.6,34.9,84.1,94.5,73.6,77.2,8.4,98.2,57.5,87,NA,79.3,66.6,92,NA,NA,NA,59.8,53.6,66,66,81.1,91.2,NA,NA,NA,0.93,0.927,SwD,0.877,SwD,0.864,0.066,0.467,0.267,0.2,0.289,0.408,0.254,0.375,0.226,0.392,0.184,0.339,0.278,0.388,0.19,0.34,NA,,,9-12,5,Rural,Adams,Public school,No,NA,No,Public - All Students
2021-22,14,210,Adams-Friendship Area,Adams-Friendship Middle,63.4,Meets Expectations,5,8,Middle School,397,1376,0,0.003,0.008,0.096,0,0.814,0.081,0.27,0.705,0.013,NA,0.01,40.2,39.1,41.2,66.9,60.3,73.6,51.7,7.4,68.9,60.3,NA,87,73.3,72.3,NA,89.3,NA,43.3,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,0.99,0.99,SwD,0.981,SwD,0.981,0.05,0.45,0.25,0.25,0.202,0.407,0.24,0.388,0.207,0.387,0.232,0.331,0.235,0.362,0.259,0.339,NA,,,6-8,5,Rural,Adams,Public school,No,NA,No,Public - All Students
2021-22,8148,8148,Adeline Montessori School Inc,Adeline Montessori School Inc,AR,Alternate Rating - Satisfactory Progress,K3,8,Elementary/Secondary School,104,NA,0,0.077,0.019,0.067,0,0.837,0,0.077,0.077,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,59.8,66,66,87.8,NA,94,57,52.5,0.98,0.98,White,0.971,White,0.971,NA,NA,NA,NA,NA,0.405,NA,0.428,NA,0.379,NA,0.377,0.63,0.374,0.478,0.393,This report serves for both school and district accountability purposes for this school.,,,K-8,1,Suburb,Oconomowoc,Non District Charter Schools,Yes,University of Wisconsin System,No,Public - All Students
2021-22,63,60,Albany,Albany Community Middle,56.8,Meets Few Expectations,5,8,Middle School,74,311,0,0,0.014,0.054,0,0.892,0.041,0.122,0.243,0.027,NA,0.068,52.3,60.6,44,53.7,67.9,39.4,40,20,43.2,81,NA,91,81.4,88.5,NA,94.7,NA,40.5,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,1,1,NA,NA,NA,NA,0.321,0.179,0.25,0.25,0.347,0.407,0.347,0.388,0.457,0.387,0.169,0.331,0.257,0.362,0.182,0.339,NA,,,6-8,2,Rural,Albany,Public school,No,NA,No,Public - All Students
2021-22,63,20,Albany,Albany Elementary,72.8,Exceeds Expectations,K4,4,Elementary School,141,311,0,0,0.007,0.085,0,0.865,0.043,0.17,0.333,0,NA,0.043,70.1,67.6,72.5,63.2,45.1,81.2,NA,NA,NA,NA,NA,NA,90.7,93.8,NA,96.2,73.6,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,1,1,NA,NA,NA,NA,0.392,0.358,NA,0.25,0.555,0.404,0.507,0.468,0.435,0.371,0.435,0.424,0.378,0.386,0.556,0.451,NA,,,K-5,2,Rural,Albany,Public school,No,NA,No,Public - All Students
2021-22,63,40,Albany,Albany High,64.2,Meets Expectations,9,12,High School,96,311,0,0.01,0.021,0.073,0,0.885,0.01,0.188,0.271,0.063,NA,0.094,51.6,52.5,50.6,75.5,62.2,88.8,51.6,10.6,63.2,72,NA,89.8,89.5,84.3,94.7,NA,NA,NA,59.8,53.6,66,66,81.1,91.2,NA,NA,NA,0.985,0.985,White,1,White,1,0.323,0.21,0.267,0.2,0.386,0.408,0.343,0.375,0.333,0.392,0.319,0.339,0.302,0.388,0.317,0.34,NA,,,9-12,2,Rural,Albany,Public school,No,NA,No,Public - All Students
2021-22,70,20,Algoma,Algoma Elementary,58.3,Meets Expectations,K4,6,Elementary School,364,678,0.008,0.005,0.008,0.08,0,0.854,0.044,0.154,0.53,0.038,NA,0.074,50.8,47.7,53.8,48.9,50.8,47,50.2,12.6,53.7,92,NA,93.3,84.2,91.2,NA,94.9,48.7,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.989,0.989,SwD,0.969,SwD,0.969,0.13,0.37,0.25,0.25,0.254,0.404,0.349,0.468,0.265,0.371,0.31,0.424,0.214,0.386,0.335,0.451,NA,,,K-5,7,Town,Algoma,Public school,No,NA,No,Public - All Students
2021-22,70,40,Algoma,Algoma High,58.4,Meets Expectations,7,12,High School,291,678,0,0.003,0.014,0.069,0,0.893,0.021,0.148,0.454,0.027,NA,0.062,50.1,54.4,45.8,57.5,66,48.9,45.1,12.5,53.7,84.7,81.8,NA,78.8,88.9,91.3,NA,NA,33.6,59.9,53.6,66,66,83.3,91.2,NA,NA,52.5,0.974,0.987,SwD,0.944,SwD,0.972,0.181,0.319,0.25,0.25,0.366,0.408,0.412,0.382,0.271,0.389,0.195,0.335,0.324,0.375,0.237,0.34,NA,,,6-12,7,Town,Algoma,Public school,No,NA,No,Public - All Students
2021-22,70,400,Algoma,Algoma Venture Academy,AR,Alternate Rating - Satisfactory Progress,7,12,High School,23,678,0,0.043,0,0.043,0,0.87,0.043,0,0.478,0.043,NA,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.9,53.6,66,66,83.3,91.2,NA,NA,52.5,0.967,0.967,White,0.962,White,0.962,NA,NA,NA,NA,NA,0.408,NA,0.382,NA,0.389,NA,0.335,0.273,0.375,0.227,0.34,NA,,,6-12,7,Town,Algoma,Public school,Yes,NA,No,Public - All Students
2021-22,NA,1294,All Saints Grade School,All Saints Grade School,NA,NR-DATA,K4,8,Elementary School,7,NA,0,0,0,0,0,1,0,*,*,*,0.368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,59.8,66,66,87.8,NA,94,57,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,NA,0.428,NA,0.379,NA,0.377,NA,0.374,NA,0.393,NA,,Insufficient data to produce a score,K-8,7,NA,Denmark,Private school,No,NA,No,Private - Choice Students
2021-22,NA,1294,All Saints Grade School,All Saints Grade School,NA,NR-DATA,K4,8,Elementary School,19,NA,0,0,0,0,0,1,0,*,*,*,0.368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,59.8,66,66,87.8,NA,94,57,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,NA,0.428,NA,0.379,NA,0.377,NA,0.374,NA,0.393,NA,NA,Insufficient data to produce a score,K-8,7,NA,Denmark,Private school,No,NA,No,Private - All Students
2021-22,84,20,Alma,Alma Elementary,76.4,Exceeds Expectations,K4,8,Elementary School,178,246,0.006,0.006,0,0.051,0,0.927,0.011,0.185,0.461,0,NA,0.208,66.2,67.9,64.5,77.4,83.1,71.7,72.5,31.6,71.7,88.5,NA,95.4,86.3,92.9,NA,95.8,46.9,61.4,59.5,59.8,66,66,87.8,NA,94,57,52.5,1,1,NA,NA,NA,NA,0.176,0.324,0.25,0.25,0.53,0.405,0.45,0.428,0.466,0.379,0.377,0.377,0.486,0.374,0.419,0.393,NA,,,K-8,4,Rural,Alma,Public school,No,NA,No,Public - All Students
2021-22,84,40,Alma,Alma High,79.6,Exceeds Expectations,9,12,High School,68,246,0,0.015,0,0.059,0,0.926,0,0.162,0.426,0,NA,0.118,59.3,65.4,53.2,86.9,85,88.8,75.9,27.9,77.4,87.7,NA,95.2,94.4,92.8,NA,95.9,NA,NA,59.8,53.6,66,66,81.1,NA,91.7,NA,NA,1,1,NA,NA,NA,NA,0.213,0.321,0.267,0.2,0.456,0.408,0.386,0.375,0.459,0.392,0.375,0.339,0.478,0.388,0.295,0.34,NA,,,9-12,4,Rural,Alma,Public school,No,NA,No,Public - All Students
2021-22,91,80,Alma Center,Lincoln Elementary,80.2,Exceeds Expectations,K4,6,Elementary School,325,580,0,0,0,0.138,0,0.822,0.04,0.145,0.594,0.065,NA,0.172,61.3,56.6,66,85,73.6,96.4,71.7,19.5,72.7,97.5,NA,96.5,87.5,96.7,NA,96.9,50.3,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.988,0.988,White,0.985,White,0.985,0.087,0.413,0.25,0.25,0.428,0.404,0.433,0.468,0.267,0.371,0.391,0.424,0.342,0.386,0.493,0.451,NA,,,K-5,4,Rural,Merrillan,Public school,No,NA,No,Public - All Students
2021-22,91,60,Alma Center,Lincoln Jr/Sr High School,65.9,Meets Expectations,7,12,High School,255,580,0.016,0,0.004,0.133,0.008,0.796,0.043,0.169,0.612,0.035,NA,0.129,52.4,56.2,48.5,62.2,60.3,64.1,58.4,11.7,64.1,92.8,90,NA,83.8,92.7,92,NA,NA,49.7,59.9,53.6,66,66,83.3,91.2,NA,NA,52.5,0.963,0.963,SwD,0.917,SwD,0.917,0.075,0.425,0.25,0.25,0.443,0.408,0.309,0.382,0.359,0.389,0.271,0.335,0.333,0.375,0.323,0.34,NA,,,6-12,4,Rural,Alma Center,Public school,No,NA,No,Public - All Students
2021-22,105,20,Almond-Bancroft,Almond-Bancroft Elementary,59.1,Meets Expectations,K4,5,Elementary School,189,383,0.005,0,0.011,0.206,0,0.746,0.032,0.175,0.587,0.074,NA,0.074,57.8,55.5,60,48.9,48.9,48.9,NA,NA,NA,NA,NA,NA,84.8,91.7,NA,95.7,49,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.977,0.977,Econ Disadv,0.98,Econ Disadv,0.98,0.138,0.612,NA,0.25,0.486,0.404,0.417,0.468,0.3,0.371,0.388,0.424,0.316,0.386,0.38,0.451,NA,,,K-5,5,Rural,Almond,Public school,No,NA,No,Public - All Students
2021-22,105,40,Almond-Bancroft,Almond-Bancroft High,69.7,Meets Expectations,9,12,High School,124,383,0,0,0,0.234,0,0.766,0,0.137,0.5,0.145,NA,0.089,45.8,50.9,40.6,75.5,66,85,60.3,7.8,70.8,80.4,NA,92.3,90.7,84.7,96.6,NA,NA,NA,59.8,53.6,66,66,81.1,91.2,NA,NA,NA,0.94,0.94,Econ Disadv,0.902,Econ Disadv,0.902,0.16,0.373,0.267,0.2,0.329,0.408,0.247,0.375,0.302,0.392,0.21,0.339,0.315,0.388,0.246,0.34,NA,,,9-12,5,Rural,Almond,Public school,No,NA,No,Public - All Students
2021-22,105,250,Almond-Bancroft,Almond-Bancroft Middle,61.9,Meets Expectations,6,8,Middle School,70,383,0,0,0.014,0.343,0,0.643,0,0.2,0.486,0.186,NA,0.1,50.5,57.3,43.6,61.3,69.8,52.7,48.1,14.4,52.7,88,NA,90.5,83.8,93.4,NA,94.5,NA,43.1,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,0.957,0.943,Hispanic,0.87,Hispanic,0.87,0.159,0.341,0.25,0.25,0.35,0.407,0.238,0.388,0.279,0.387,0.152,0.331,0.454,0.362,0.277,0.339,NA,,,6-8,5,Rural,Almond,Public school,No,NA,No,Public - All Students
2021-22,112,80,Altoona,Altoona Elementary,69.4,Meets Expectations,K4,3,Elementary School,641,1861,0.003,0.019,0.016,0.064,0,0.819,0.08,0.178,0.381,0.033,NA,0.2,62.9,56.4,69.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.8,96.5,NA,97.3,56.4,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.979,0.979,SwD,0.931,SwD,0.931,0.75,NA,NA,0.25,0.394,0.404,0.548,0.468,0.333,0.371,0.504,0.424,0.318,0.386,0.4,0.451,NA,,,K-5,10,Rural,Altoona,Public school,No,NA,No,Public - All Students
2021-22,112,40,Altoona,Altoona High,72.2,Exceeds Expectations,9,12,High School,534,1861,0.004,0.015,0.022,0.047,0.002,0.841,0.069,0.157,0.352,0.015,NA,0.199,66.1,66.3,65.9,74.6,66,83.1,59.1,14.6,66.9,86.8,85.5,NA,94.3,93.4,95.2,NA,NA,NA,59.8,53.6,66,66,81.1,91.2,NA,NA,NA,0.962,0.964,SwD,0.889,SwD,0.889,0.265,0.268,0.267,0.2,0.354,0.408,0.422,0.375,0.478,0.392,0.465,0.339,0.495,0.388,0.464,0.34,NA,,,9-12,10,Suburb,Altoona,Public school,No,NA,No,Public - All Students
2021-22,112,100,Altoona,Altoona Intermediate,87.5,Significantly Exceeds Expectations,4,5,Elementary School,263,1861,0,0.038,0.023,0.068,0,0.844,0.027,0.183,0.403,0.038,NA,0.19,74.1,68.7,79.4,89.8,88.8,90.7,89.4,30.7,90.7,89.2,NA,96.5,96.7,96,NA,97.3,NA,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,1,1,NA,NA,NA,NA,0.229,0.304,0.267,0.2,0.53,0.404,0.54,0.468,0.47,0.371,0.555,0.424,0.465,0.386,0.607,0.451,NA,,,K-5,10,Suburb,Altoona,Public school,No,NA,No,Public - All Students
2021-22,112,60,Altoona,Altoona Middle,76.6,Exceeds Expectations,6,8,Middle School,423,1861,0,0.026,0.024,0.043,0,0.82,0.087,0.165,0.454,0.009,NA,0.208,69.4,71.6,67.3,78.4,69.8,86.9,66.8,21.9,67.9,91,NA,97.3,89.5,94.2,NA,97.9,NA,63.5,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,0.99,0.99,SwD,0.986,SwD,0.986,0.181,0.319,0.25,0.25,0.569,0.407,0.501,0.388,0.481,0.387,0.451,0.331,0.433,0.362,0.508,0.339,NA,,,6-8,10,Suburb,Altoona,Public school,No,NA,No,Public - All Students
2021-22,119,40,Amery,Amery High,54.3,Meets Few Expectations,9,12,High School,481,1441,0.006,0.008,0.015,0.027,0,0.921,0.023,0.15,0.308,0.01,NA,0.062,61.4,63.3,59.4,39.4,43.2,35.6,31.9,15.9,37.5,69.7,96.2,NA,91.1,83.1,99,NA,NA,NA,59.8,53.6,66,66,81.1,91.2,NA,NA,NA,0.992,0.992,Econ Disadv,0.976,Econ Disadv,0.976,0.297,0.237,0.267,0.2,0.417,0.408,0.436,0.375,0.414,0.392,0.401,0.339,0.419,0.388,0.391,0.34,NA,,,9-12,11,Rural,Amery,Public school,No,NA,No,Public - All Students
2021-22,119,50,Amery,Amery Intermediate,75.2,Exceeds Expectations,3,5,Elementary School,263,1441,0,0.011,0.008,0.049,0,0.882,0.049,0.156,0.414,0.027,NA,0.122,73.3,69.5,77.1,70.8,66,75.5,67.3,28.4,67,90.4,NA,94,89.9,92.4,NA,95.9,72.9,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.989,0.989,SwD,0.923,SwD,0.923,0.207,0.293,0.25,0.25,0.544,0.404,0.555,0.468,0.46,0.371,0.468,0.424,0.49,0.386,0.541,0.451,NA,,,K-5,11,Rural,Amery,Public school,No,NA,No,Public - All Students
2021-22,119,60,Amery,Amery Middle,88.4,Significantly Exceeds Expectations,6,8,Middle School,303,1441,0.01,0.01,0.01,0.036,0,0.898,0.036,0.175,0.393,0.013,NA,0.066,72.2,74.9,69.4,95.4,98.3,92.6,92,30.1,92.6,93,NA,96.8,91.2,95.6,NA,96.9,NA,70.9,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,0.993,0.993,Econ Disadv,0.992,Econ Disadv,0.992,0.221,0.279,0.25,0.25,0.525,0.407,0.546,0.388,0.49,0.387,0.434,0.331,0.513,0.362,0.512,0.339,NA,,,6-8,11,Rural,Amery,Public school,No,NA,No,Public - All Students
2021-22,119,20,Amery,Lien Elementary,AR,Alternate Rating - Needs Improvement,K4,3,Elementary School,394,1441,0,0.008,0.013,0.03,0,0.914,0.036,0.109,0.485,0.008,NA,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.404,NA,0.468,0.428,0.371,0.476,0.424,0.466,0.386,0.6,0.451,NA,,,K-5,11,Rural,Amery,Public school,No,NA,No,Public - All Students
2021-22,140,70,Antigo Unified,Antigo High,44.9,Fails to Meet Expectations,8,12,High School,884,2083,0.014,0.005,0.015,0.059,0,0.856,0.052,0.158,0.541,0.024,NA,0.032,41.1,41.1,41.1,40.3,29.9,50.8,28.3,5.2,46.1,55.7,82.6,NA,70.3,68.5,90.4,NA,NA,33.7,59.8,53.6,66,66,81.1,91.2,NA,NA,NA,0.924,0.923,SwD,0.856,SwD,0.856,0.123,0.377,0.25,0.25,0.258,0.408,0.276,0.375,0.215,0.392,0.219,0.339,0.217,0.388,0.228,0.34,NA,,,9-12,9,Rural,Antigo,Public school,No,NA,No,Public - All Students
2021-22,140,50,Antigo Unified,Antigo Middle,68.5,Meets Expectations,4,7,Middle School,509,2083,0.02,0.004,0.008,0.063,0,0.861,0.045,0.175,0.676,0.022,NA,0.008,45.8,46.3,45.4,64.1,54.6,73.6,62.1,10.8,67.9,89.5,NA,95.8,93.8,91.7,NA,95.9,NA,NA,60.1,53.6,66,66,86.2,NA,93.4,NA,52.5,0.978,0.978,Two or More,0.909,Two or More,0.909,0.053,0.48,0.267,0.2,0.287,0.407,0.31,0.388,0.258,0.387,0.234,0.331,0.253,0.362,0.266,0.339,NA,,,6-8,9,Town,Antigo,Public school,No,NA,No,Public - All Students
2021-22,140,100,Antigo Unified,East Elementary,60.9,Meets Expectations,K4,3,Elementary School,219,2083,0.014,0,0,0.082,0,0.845,0.059,0.178,0.498,0.027,NA,0.027,52.8,51.7,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.1,88.4,NA,95.6,57.3,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,1,1,NA,NA,NA,NA,0.75,NA,NA,0.25,0.239,0.404,0.087,0.468,0.323,0.371,0.388,0.424,0.406,0.386,0.438,0.451,NA,,,K-5,9,Town,Antigo,Public school,No,NA,No,Public - All Students
2021-22,140,180,Antigo Unified,North Elementary,50.1,Meets Few Expectations,K4,3,Elementary School,201,2083,0.03,0,0.015,0.075,0,0.806,0.075,0.174,0.771,0,NA,0.01,40.1,40.9,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.2,86.8,NA,93.5,40.3,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,1,1,NA,NA,NA,NA,0.75,NA,NA,0.25,0.216,0.404,0.122,0.468,0.2,0.371,0.175,0.424,0.184,0.386,0.2,0.451,NA,,,K-5,9,Rural,Antigo,Public school,No,NA,No,Public - All Students
2021-22,140,280,Antigo Unified,West Elementary,43.9,Fails to Meet Expectations,K4,3,Elementary School,175,2083,0.034,0,0.017,0.091,0,0.8,0.057,0.16,0.714,0.023,NA,0.017,32.4,35.7,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5,85.9,NA,93.3,34.1,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,0.947,0.947,Econ Disadv,0.935,Econ Disadv,0.935,0.75,NA,NA,0.25,0.179,0.404,0.066,0.468,0.083,0.371,0.042,0.424,0.194,0.386,0.25,0.451,NA,,,K-5,9,Town,Antigo,Public school,No,NA,No,Public - All Students
2021-22,147,155,Appleton Area,Appleton Bilingual School,71.6,Exceeds Expectations,KG,5,Elementary School,119,15217,0,0,0.008,0.706,0,0.244,0.042,0.059,0.387,0.445,NA,0.16,49.5,45.1,53.9,82.2,75.5,88.8,NA,NA,NA,NA,NA,NA,84.2,95.2,NA,95.7,39.2,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,1,1,NA,NA,NA,NA,0.338,0.412,NA,0.25,0.274,0.404,0.316,0.468,0.235,0.371,0.294,0.424,0.271,0.386,0.355,0.451,NA,,,K-5,6,City,Appleton,Public school,Yes,NA,No,Public - All Students
2021-22,147,800,Appleton Area,Appleton Cooperative Educational Center,AR,Alternate Rating - Satisfactory Progress,4,12,Elementary/Secondary School,4,15217,0,0,0.25,0,0,0.75,0,*,*,*,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.9,53.6,66,66,83.3,91.2,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.408,NA,0.382,NA,0.389,NA,0.335,NA,0.375,NA,0.34,NA,,,6-12,6,City,Appleton,Public school,No,NA,No,Public - All Students
2021-22,147,440,Appleton Area,Appleton eSchool,AR,Alternate Rating - Satisfactory Progress,7,12,High School,57,15217,0,0.088,0.035,0.123,0.018,0.649,0.088,0.053,0.491,0.018,NA,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.9,53.6,66,66,83.3,91.2,NA,NA,52.5,0.216,0.189,White,0.208,White,0.167,NA,NA,NA,NA,0,0.408,0,0.382,0.571,0.389,0.308,0.335,0.8,0.375,0.6,0.34,NA,,,6-12,6,City,Appleton,Public school,Yes,NA,Yes,Public - All Students
2021-22,147,145,Appleton Area,Appleton Public Montessori,78.2,Exceeds Expectations,K4,6,Elementary School,138,15217,0.014,0.029,0,0.065,0,0.826,0.065,0.065,0.217,0.014,NA,0.181,71.6,78.4,64.8,77.4,81.2,73.6,NA,NA,NA,NA,NA,NA,92.4,98.1,NA,98.8,68.3,NA,59,66.1,66,66,88.7,NA,94.2,57,NA,1,1,NA,NA,NA,NA,0.508,0.242,NA,0.25,0.587,0.404,0.48,0.468,0.446,0.371,0.304,0.424,0.622,0.386,0.378,0.451,NA,,,K-5,6,Rural,Grand Chute,Public school,Yes,NA,No,Public - All Students
